base_model,model,dataset,mean_kl
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,hh-rlhf,0.025386695750057697
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,alpaca,0.003313697874546051
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,wikipedia,0.0061523145996034145
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,overrefusal,0.003705698763951659
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,overrefusal-toxic,0.004705477738752961
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,hh-rlhf,0.01855536922812462
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,alpaca,0.0021368241868913174
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,wikipedia,0.0021977637661620975
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal,0.0018063909956254065
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal-toxic,0.002405828330665827
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,hh-rlhf,0.0008177780546247959
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,alpaca,0.00023978960962267593
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,wikipedia,0.0013745854957960546
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal,0.0011578912381082773
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal-toxic,0.0011667333892546594
